"TipLabel","Brain_Size_mL","Body_Mass_g","Cooperative","Sociality","Territoriality","Diet","Diet_Simple","Foraging_Niche","Foraging_Niche_Simple","Migration","Dev_Mode","Clade","CladeFit"
"Lybius_torquatus",1.16,51.7,"Cooperative","3","strong","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-3.5090668,"Piciformes","Piciformes"
"Cacatua_alba",14.16,631,"NonCooperative","3","weak","Seeds","PlantsSeeds","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Cissopis_leverianus",1.71,76,"NonCooperative","3","weak","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-1.634242462,"Passeroidea","Passeroidea"
"Melidora_macrorrhina",2.3,102,"NonCooperative","3","strong","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-2.73187365,"Coraciiformes","Coraciiformes"
"Dasyornis_broadbenti",1.88,83.3,"NonCooperative","3","strong","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",-2.006493377,"Meliphagoidea","Meliphagoidea"
"Struthidea_cinerea",2.98,132,"Cooperative","3","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",-2.513920317,"Corvoidea","Corvoidea"
"Rhinocrypta_lanceolata",1.4,61.9,"NonCooperative","3","strong","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Sedentary",-2.524622143,"Furnariidae","Furnariidae"
"Psittacus_erithacus",9.18,405.5,"NonCooperative","3","none","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.628247897,"Psittaciformes","Psittaciformes"
"Polytelis_anthopeplus",3.85,170,"Cooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","PartiallyMigratory",-2.990938033,"Psittaciformes","Psittaciformes"
"Pionus_menstruus",5.7,251,"NonCooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Otus_magicus",3.76,165,"NonCooperative","3","strong","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Sedentary",-1.103620612,"Strigiformes","Strigiformes"
"Tyrannus_savana",0.73,31.9,"NonCooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Migratory",-1.900016091,"Tyrannidae","Tyrannidae"
"Sturnus_vulgaris",1.97,86,"NonCooperative","2","none","Generalist","Generalist","ArborealGleaning","Gleaning","PartiallyMigratory",-1.676494561,"Muscicapoidea","Muscicapoidea"
"Gymnobucco_calvus",1.25,54.6,"Cooperative","3","weak","Fruit","FruitNectar","ArborealGleaning","Gleaning","PartiallyMigratory",-3.5090668,"Piciformes","Piciformes"
"Pyrrhocorax_pyrrhocorax",6.38,277.8,"NonCooperative","3","none","Invertebrates","Invertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-2.100558352,"Corvoidea","Corvoidea"
"Calidris_mauri",0.64,27.9,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Migratory",2.332707179,"Charadriiformes","Charadriiformes"
"Tanysiptera_sylvia",1.14,49.6,"Cooperative","3","weak","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Migratory",-2.73187365,"Coraciiformes","Coraciiformes"
"Euphagus_cyanocephalus",1.44,62.7,"NonCooperative","2","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-1.893306846,"Passeroidea","Passeroidea"
"Calidris_minuta",0.53,23,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Migratory",2.332707179,"Charadriiformes","Charadriiformes"
"Merops_ornatus",0.62,26.9,"Cooperative","3","none","Invertebrates","Invertebrates","AerialSallying","AerialSallying","Migratory",-2.939125157,"Coraciiformes","Coraciiformes"
"Dryocopus_pileatus",6.8,295,"NonCooperative","3","weak","Invertebrates","Invertebrates","BarkGleaning","Gleaning","Sedentary",-2.628247897,"Piciformes","Piciformes"
"Philemon_diemenensis",1.55,67,"NonCooperative","3","weak","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.006493377,"Meliphagoidea","Meliphagoidea"
"Picus_awokera",3.32,143,"NonCooperative","3","weak","Invertebrates","Invertebrates","BarkGleaning","Gleaning","Sedentary",-2.73187365,"Piciformes","Piciformes"
"Pionopsitta_pileata",2.77,119,"NonCooperative","3","none","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.566874242,"Psittaciformes","Psittaciformes"
"Calyptorhynchus_latirostris",14.25,612,"NonCooperative","3","weak","Seeds","PlantsSeeds","ArborealGleaning","Gleaning","Sedentary",-2.703191316,"Psittaciformes","Psittaciformes"
"Cinclodes_patagonicus",1.24,53.2,"NonCooperative","3","weak","Invertebrates","Invertebrates","GroundForaging","GroundForaging","Migratory",-2.524622143,"Furnariidae","Furnariidae"
"Surnia_ulula",7.48,320.5,"NonCooperative","3","weak","Vertebrates","Vertebrates","AerialSallying","AerialSallying","PartiallyMigratory",-1.528421581,"Strigiformes","Strigiformes"
"Trachyphonus_vaillantii",1.63,69.5,"NonCooperative","3","strong","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-3.5090668,"Piciformes","Piciformes"
"Quiscalus_quiscula",2.59,110.2,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",-1.936180099,"Passeroidea","Passeroidea"
"Cyanocorax_morio",4.8,204,"Cooperative","3","strong","Generalist","Generalist","ArborealGleaning","Gleaning","Sedentary",-2.58961119,"Corvoidea","Corvoidea"
"Oriolus_flavocinctus",2.1,89,"NonCooperative","3","weak","Fruit","FruitNectar","ArborealGleaning","Gleaning","Sedentary",-2.680060773,"Corvoidea","Corvoidea"
